Symbol,Fund Name,Asset Class,Mgmt Fee (%),AUM ($),Prev. Close ($),Avg Daily Vol (30D),Inception Date
QQQT.B,Evolve NASDAQ Technology Index Fund,Equity,-,8222000,,2120,-
QQQT.U,Evolve NASDAQ Technology Index Fund,Equity,-,6018000,,896,-
QQQU,MegaLong (3X) NASDAQ-100® Daily Leveraged Alternative ETF,Leverage/Inverse,-,9080500,,193303,-
QQQX,Global X Nasdaq-100 Index ETF,Equity,-,657149829.49,,19008,-
QQQX.U,Global X Nasdaq-100 Index ETF,Equity,-,483752742.55,,42173,-
QQQY,Evolve NASDAQ Technology Enhanced Yield Index Fund,Equity,-,102720000,,35887,-
QQQY.U,Evolve NASDAQ Technology Enhanced Yield Index Fund,Equity,-,950500.0000000001,,227,-
QQU,BetaPro NASDAQ-100 2x Daily Bull ETF,Leverage/Inverse,-,393791474.8,,1293525,-
QRET,Mackenzie Developed Markets Real Estate Index ETF,Equity,-,18160500,,950,-
QSB,Mackenzie Canadian Short-Term Bond Index ETF,Fixed Income,-,61950400,,6265,-
QTLT,Mackenzie US Government Long Bond Index ETF,Fixed Income,-,141048600,,1074,-
QUB,Mackenzie U.S. Aggregate Bond Index ETF (CAD-Hedged),Fixed Income,-,86453600,,4210,-
QUIG,Mackenzie US Investment Grade Corporate Bond Index ETF (CAD-Hedged),Fixed Income,-,649833600,,9540,-
QUU,Mackenzie US Large Cap Equity Index ETF,Equity,-,5180084000,,65748,-
QXM,CI Morningstar National Bank Quebec Index ETF,Equity,-,88200352.89,,1967,-
RAAA,Corton Enhanced Income Fund,Fixed Income,-,16432800,,2126,-
RATE,Arrow EC Income Advantage Alternative Fund,Fixed Income,-,109830000,,26702,-
RBCU,SavvyLong 2X RBC (RY) Equity-Linked ETF,Single Stock ETF,-,4256000,,1300,-
RBND,Russell Investments Core Plus Fixed Income ETF,Fixed Income,-,1000000,,,-
RBNK,RBC Canadian Bank Yield Index ETF,Equity,-,395477500,,211043,-
RBO,RBC 1-5 Year Laddered Canadian Corporate Bond ETF,Fixed Income,-,192495000,,47370,-
RBOT,Global X Robotics & AI Index ETF,Equity,-,64506141,,10360,-
RBOT.U,Global X Robotics & AI Index ETF,Equity,-,47563378,,1217,-
RCD,RBC Quant Canadian Dividend Leaders ETF,Equity,-,371756000,,52864,-
RCDC,RBC Canadian Dividend Covered Call ETF,Equity,-,49753500,,14482,-
RCTR,First Trust Bloomberg Nuclear Power ETF,Equity,-,1000000,,488,-
RDBH,RBC U.S. Discount Bond (CAD Hedged) ETF,Fixed Income,-,285901000,,42093,-
RDDY,Harvest Reddit Enhanced High Income Shares ETF,Single Stock ETF,-,40796000,,127115,-
REIT,Global X Equal Weight Canadian REITs Index ETF,Equity,-,2820045.1199999996,,2503,-
RGBM,Return Stacked® Global Balanced & Macro ETF,Alternative,-,29359500,,2518,-
RGBM.U,Return Stacked® Global Balanced & Macro ETF,Alternative,-,2662800,,3,-
RGIP.U,Purpose Canadian Preferred Share P2L T,-,-,-,,-,-
RGQO,RBC Target 2026 Canadian Government Bond ETF,Fixed Income,-,77108000,,20945,-
RGQP,RBC Target 2027 Canadian Government Bond ETF,Fixed Income,-,100395000,,21130,-
RGQQ,RBC Target 2028 Canadian Government Bond ETF,Fixed Income,-,78732500,,14118,-
RGQR,RBC Target 2029 Canadian Government Bond ETF,Fixed Income,-,66235000,,8480,-
RGQS,RBC Target 2030 Canadian Government Bond ETF,Fixed Income,-,97515000.00000001,,21233,-
RGQT,RBC Target 2031 Canadian Government Bond ETF,Fixed Income,-,74222000,,42128,-
RID,RBC Quant EAFE Dividend Leaders ETF,Equity,-,391902000,,71304,-
RID.U,RBC Quant EAFE Dividend Leaders ETF,Equity,-,13130000,,11449,-
RIDH,RBC Quant EAFE Dividend Leaders (CAD Hedged) ETF,Equity,-,115887750,,25640,-
RIFI,Russell Investments Fixed Income Pool,Fixed Income,-,18286000,,4713,-
RIGE,Russell Investments Global Equity Pool,Equity,-,1945500,,59,-
RIIN,Russell Investments Global Infrastructure Pool,Equity,-,67648750,,16955,-
RING,Global X Equal Weight Canadian Telecommunications Index ETF,Equity,-,464973161.67,,1309493,-
RIRA,Russell Investments Real Assets,Asset Allocation,-,6665750.000000001,,7497,-
RIT,CI Canadian REIT ETF,Equity,-,424282173,,67261,-
RKLC,Rocklinc Principled Equity ETF,Equity,-,40215000,,3312,-
RLB,RBC 1-5 Year Laddered Canadian Bond ETF,Fixed Income,-,175398000,,27388,-
RMAX,Hamilton REITs YIELD MAXIMIZER TM ETF,Fixed Income,-,133820365.14000002,,50647,-
RNCC,Global X Equal Weight Canadian Telecommunications Covered Call ETF,Equity,-,13899159.379999999,,3054,-
RNCL,Global X Enhanced Equal Weight Canadian Telecommunications Covered Call ETF,Equity,-,3230097.4299999997,,2181,-
RPD,RBC Quant European Dividend Leaders ETF,Equity,-,103008000.00000001,,16299,-
RPD.U,RBC Quant European Dividend Leaders ETF,Equity,-,6630000,,2860,-
RPDH,RBC Quant European Dividend Leaders (CAD Hedged) ETF,Equity,-,23240250,,2730,-
RPF,RBC Canadian Preferred Share ETF,Preferred Share,-,634254624,,62091,-
RQCA,Russell Investments Multi-Factor Canadian Equity Pool,Equity,-,1003999.9999999999,,7,-
RQIN,Russell Investments Multi-Factor International Equity Pool,Equity,-,1000000,,,-
RQO,RBC Target 2026 Canadian Corporate Bond Index ETF,Fixed Income,-,640371000,,198008,-
RQP,RBC Target 2027 Canadian Corporate Bond Index ETF,Fixed Income,-,836304000,,174303,-
RQQ,RBC Target 2028 Canadian Corporate Bond Index ETF,Fixed Income,-,664895000,,102335,-
RQR,RBC Target 2029 Canadian Corporate Bond Index ETF,Fixed Income,-,479818000.00000006,,96412,-
RQS,RBC Target 2030 Canadian Corporate Bond Index ETF,Fixed Income,-,347386500,,89283,-
RQT,RBC Target 2031 Canadian Corporate Bond ETF,Fixed Income,-,305473000,,84409,-
RQUS,Russell Investments Multi-Factor US Equity Pool,Equity,-,1000000,,,-
RUD,RBC Quant U.S. Dividend Leaders ETF,Equity,-,796993500,,106487,-
RUD.U,RBC Quant U.S. Dividend Leaders ETF,Equity,-,51739500,,4983,-
RUDB,RBC U.S. Discount Bond ETF,Fixed Income,-,369332250,,34472,-
RUDB.U,RBC U.S. Discount Bond ETF,Fixed Income,-,46566000,,13302,-
RUDC,RBC U.S. Dividend Covered Call ETF,Equity,-,24606750,,1467,-
RUDC.U,RBC U.S. Dividend Covered Call ETF,Equity,-,2521500,,329,-
RUDH,RBC Quant U.S. Dividend Leaders (CAD Hedged) ETF,Equity,-,225883000,,81613,-
RUQO,RBC Target 2026 U.S. Corporate Bond ETF,Fixed Income,-,17176500,,5463,-
RUQO.U,RBC Target 2026 U.S. Corporate Bond ETF,Fixed Income,-,33671000,,25577,-
RUQP,RBC Target 2027 U.S. Corporate Bond ETF,Fixed Income,-,14276249.999999998,,2256,-
RUQP.U,RBC Target 2027 U.S. Corporate Bond ETF,Fixed Income,-,23978500,,11540,-
RUQQ,RBC Target 2028 U.S. Corporate Bond ETF,Fixed Income,-,31107750,,7353,-
RUQQ.U,RBC Target 2028 U.S. Corporate Bond ETF,Fixed Income,-,13571250,,3696,-
RUQR,RBC Target 2029 U.S. Corporate Bond ETF,Fixed Income,-,20689500,,3193,-
RUQR.U,RBC Target 2029 U.S. Corporate Bond ETF,Fixed Income,-,13597500,,3745,-
RUQS,RBC Target 2030 U.S. Corporate Bond ETF,Fixed Income,-,24423750,,5597,-
RUQS.U,RBC Target 2030 U.S. Corporate Bond ETF,Fixed Income,-,42320500,,8767,-
RUQT,RBC Target 2031 U.S. Corporate Bond ETF,Fixed Income,-,2462500,,4386,-
RUQT.U,RBC Target 2031 U.S. Corporate Bond ETF,Fixed Income,-,12325000,,13605,-
RUSB,RBC Short Term U.S. Corporate Bond ETF,Equity,-,5375000,,640,-
RUSB.U,RBC Short Term U.S. Corporate Bond ETF,Equity,-,242648000,,29743,-
RUST,RBC Canadian Ultra Short Term Bond ETF,Fixed Income,-,52384500,,41181,-
RYHE,Harvest Enhanced High Income RY-Linked Shares ETF,Single Stock ETF,-,3729000,,5405,-
RYHI,Ninepoint Royal Bank HighShares ETF,Single Stock ETF,-,8541000,,3130,-
SAFE,Global X Equal Weight Canadian Insurance Index ETF,Equity,-,8857527.66,,83962,-
SAPS,SAP CDR (CAD Hedged),-,-,3142000,,25164,-
SBLG,SLGI MFS Blended Research Low Vol Global Fund,Fixed Income,-,2096000,,1322,-
SBLI,SLGI MFS Blended Research Low Vol International Fund,Fixed Income,-,2018000,,3276,-
SBT,Purpose Silver Bullion Fund,Commodity,-,86730000,,49349,-
SBT.B,Purpose Silver Bullion Fund,Commodity,-,103684092.54,,14027,-
SBT.U,Purpose Silver Bullion Fund,Commodity,-,74455282.23,,2338,-
SBUL,Ninepoint Silver Bullion Fund,Commodity,-,1294500,,1124,-
SCHN,Schneider Electric CDR (CAD Hedged),-,-,8701000,,9137,-
SCND,BetaPro -3x S&P/TSX 60 Daily Leveraged Bear Alternative ETF,Leverage/Inverse,-,3047500,,8845,-
SHHI,Ninepoint Shopify HighShares ETF,Single Stock ETF,-,23194650,,70935,-
SHLD,Global X Defence Tech Index ETF,Equity,-,264337500,,184134,-
SHPD,SavvyShort (-2X) Shopify ETF,Single Stock ETF,-,2780750,,13480,-
SHPE,Harvest Shopify Enhanced High Income Shares ETF,Single Stock ETF,-,15844000,,70786,-
SHPU,SavvyLong (2X) Shopify ETF,Single Stock ETF,-,2283750,,123715,-
SIXY,Evolve Big Six Canadian Banks UltraYield Index ETF,Equity,-,23724000,,80796,-
SKYY,First Trust Cloud Computing ETF,Equity,-,2968900,,1380,-
SLCA,Sun Life Core Advantage Credit Private Pool,Fixed Income,-,56002499.99999999,,24864,-
SLGC,Sun Life MFS Global Core Plus Bond Fund,Fixed Income,-,5948999.999999999,,4489,-
SLSC,Sun Life Crescent Specialty Credit Private Pool,Fixed Income,-,1962000,,3476,-
SLVD,BetaPro Silver -2x Daily Bear ETF,Leverage/Inverse,-,23737152.599999998,,8151363,-
SLVU,BetaPro Silver 2x Daily Bull ETF,Leverage/Inverse,-,254801270.61,,810927,-
SMAX,Hamilton U.S. Equity YIELD MAXIMIZER TM ETF,Equity,-,955530615.6,,246052,-
SMAX.U,Hamilton U.S. Equity YIELD MAXIMIZER TM ETF,Equity,-,7309256,,6868,-
SMNS,Siemens CDR (CAD Hedged),-,-,8121000,,5499,-
SMVP,HAMILTON CHAMPIONS TM U.S. Dividend Index ETF,Equity,-,20253223.64,,8117,-
SMVP.U,HAMILTON CHAMPIONS TM U.S. Dividend Index ETF,Equity,-,162894499.11,,28579,-
SNY,Sanofi CDR (CAD Hedged),-,-,3054000,,8975,-
SOFY,Harvest SoFi Enhanced High Income Shares ETF,Single Stock ETF,-,45530000,,108871,-
SOLA,Evolve Solana ETF,Cryptocurrency,-,8835000,,38301,-
SOLA.U,Evolve Solana ETF,Cryptocurrency,-,530700,,1211,-
SOLL,Purpose Solana ETF,Cryptocurrency,-,28895250,,103069,-
SOLL.B,Purpose Solana ETF,Cryptocurrency,-,5427000,,15447,-
SOLL.U,Purpose Solana ETF,Cryptocurrency,-,1352000,,625,-
SOLQ,3iQ Solana Staking ETF,Cryptocurrency,-,138586500,,232853,-
SOLQ.U,3iQ Solana Staking ETF,Cryptocurrency,-,102706500,,25076,-
SOLX,CI Galaxy Solana ETF,Cryptocurrency,-,960749.9999999999,,2184,-
SOLX.B,CI Galaxy Solana ETF,Cryptocurrency,-,19123500,,134240,-
SOLX.U,CI Galaxy Solana ETF,Cryptocurrency,-,8025000,,23951,-
SOXD,MegaShort (-3X) US Semiconductors Daily Leveraged Alternative ETF,Leverage/Inverse,-,4909125,,86630,-
SOXU,MegaLong (3X) US Semiconductors Daily Leveraged Alternative ETF,Leverage/Inverse,-,15620000,,25301,-
SPAY,Global X Short-Term U.S. Treasury Premium Yield ETF,Fixed Income,-,152252403.98000002,,56160,-
SPAY.U,Global X Short-Term U.S. Treasury Premium Yield ETF,Fixed Income,-,112126181.25,,4782,-
SPFD,Mulvihill Enhanced Split Preferred Share ETF,Preferred Share,-,28313141.22,,18792,-
SPLT,Brompton Split Corp. Preferred Share ETF,Preferred Share,-,614876910,,299713,-
SPXD,BetaPro S&P 500 -2x Daily Bear ETF,Leverage/Inverse,-,51468771.915,,535264,-
SPXI,BetaPro S&P 500 Daily Inverse ETF,Leverage/Inverse,-,25300125,,69835,-
SPXU,BetaPro S&P 500 2x Daily Bull ETF,Leverage/Inverse,-,151729515.62,,619107,-
SPYD,MegaShort (-3X) S&P 500® Daily Leveraged Alternative ETF,Leverage/Inverse,-,6830000,,25876,-
SPYU,MegaLong (3X) S&P 500® Daily Leveraged Alternative ETF,Leverage/Inverse,-,12586500,,12215,-
SQQQ,BetaPro -3x Nasdaq-100 Daily Leveraged Bear Alternative ETF,Leverage/Inverse,-,22496000,,751363,-
SRSL,BetaPro -3x Russell 2000 Daily Leveraged Bear Alternative ETF,Leverage/Inverse,-,4087500.0000000005,,3447,-
SSPX,BetaPro -3x S&P 500 Daily Leveraged Bear Alternative ETF,Leverage/Inverse,-,3697500,,29352,-
STPL,BMO Global Consumer Staples Hedged to CAD Index ETF,Equity,-,34811685,,15442,-
SUHE,Harvest Suncor Enhanced High Income Shares ETF,Single Stock ETF,-,2976750.0000000005,,5965,-
SUHI,Ninepoint Suncor HighShares ETF,Single Stock ETF,-,11071200,,3250,-
SVR,iShares Silver Bullion ETF,Commodity,-,637650000,,941733,-
SVR.C,iShares Silver Bullion ETF,Commodity,-,172080000,,90499,-
SWIN,HAMILTON CHAMPIONS TM Enhanced U.S. Dividend ETF,Equity,-,6757122.96,,2915,-
SYLD,Purpose Strategic Yield Fund,Fixed Income,-,152460000,,51892,-
TBAL,TD Balanced ETF Portfolio,Asset Allocation,-,276007500,,132731,-
TBCF,TD Target 2026 Investment Grade Bond ETF,Fixed Income,-,145894400,,22391,-
TBCG,TD Target 2027 Investment Grade Bond ETF,Fixed Income,-,226524000,,37601,-
TBCH,TD Target 2028 Investment Grade Bond ETF,Fixed Income,-,68795600,,11065,-
TBCI,TD Target 2029 Investment Grade Bond ETF,Fixed Income,-,29707600,,9154,-
TBCJ,TD Target 2030 Investment Grade Bond ETF,Fixed Income,-,45601600,,25999,-
TBIL,Harvest Canadian T-Bill ETF,Fixed Income,-,126325750,,190764,-
TBNK,TD Canadian Bank Dividend Index ETF,Equity,-,281030400,,124621,-
TBUF.U,TD Target 2026 U.S. Investment Grade Bond ETF,Fixed Income,-,25284000,,6336,-
TBUG.U,TD Target 2027 U.S. Investment Grade Bond ETF,Fixed Income,-,48060800,,4765,-
TCLB,TD Canadian Long Term Federal Bond ETF,Fixed Income,-,340337695.56,,12276,-
TCLV,TD Q Canadian Low Volatility ETF,Equity,-,102144000,,24771,-
TCND,BetaPro 3x S&P/TSX 60 Daily Leveraged Bull Alternative ETF,Leverage/Inverse,-,7527500,,8648,-
TCON,TD Conservative ETF Portfolio,Asset Allocation,-,106108500,,53417,-
TCSB,TD Select Short Term Corporate Bond Ladder ETF,Fixed Income,-,662977000,,257688,-
TCSH,TD Cash Management ETF,Cash/Currency,-,764458400,,264144,-
TDB,TD Canadian Aggregate Bond Index ETF,Fixed Income,-,3352634530.71,,968664,-
TDHE,Harvest Enhanced High Income TD-Linked Shares ETF,Single Stock ETF,-,3354750,,5083,-
TDHI,Ninepoint TD HighShares ETF,Single Stock ETF,-,10048800,,919,-
TDNA,TD North American Dividend Fund,Equity,-,35793400,,14252,-
TDOC,TD Global Healthcare Leaders Index ETF,Equity,-,102025000,,22986,-
TDOC.U,TD Global Healthcare Leaders Index ETF,Equity,-,2181000,,466,-
TDU,SavvyLong 2X TDB (TD) Equity-Linked ETF,Single Stock ETF,-,1292000,,2029,-
TEC,TD Global Technology Leaders Index ETF,Equity,-,3709449800,,350979,-
TEC.U,TD Global Technology Leaders Index ETF,Equity,-,19910000,,3128,-
TECH,Evolve FANGMA Index ETF,Equity,-,99650685,,191837,-
TECH.B,Evolve FANGMA Index ETF,Equity,-,18568000,,7309,-
TECH.U,Evolve FANGMA Index ETF,Equity,-,3882394,,4624,-
TECI,TD Global Technology Innovators Index ETF,Equity,-,13320000,,9597,-
TECX,TD Global Technology Leaders CAD Hedged Index ETF,Equity,-,11469500.000000002,,3362,-
TEHE,Harvest TELUS Enhanced High Income Shares ETF,Single Stock ETF,-,6095250,,10858,-
TEQT,TD All-Equity ETF Portfolio,Equity,-,54672000.00000001,,38635,-
TERM,Manulife Smart Short-Term Bond ETF,Fixed Income,-,599633750,,546676,-
TERP,TRU.X Exogenous Risk Pool,Equity,-,4807000,,4338,-
TERP.U,TRU.X Exogenous Risk Pool,Equity,-,3514400,,1332,-
TGAF,Tralucent Global Alt (Long/Short) Equity Fund,Alternative,-,28404450,,4317,-
TGED,TD Active Global Enhanced Dividend ETF,Equity,-,1434433000,,195690,-
TGED.U,TD Active Global Enhanced Dividend ETF,Equity,-,64141500,,19452,-
TGEX,TD Active Global Enhanced Dividend CAD Hedged ETF,-,-,-,,-,-
TGFI,TD Active Global Income ETF,Fixed Income,-,345085750,,62081,-
TGGR,TD Active Global Equity Growth ETF,Equity,-,41734000,,6391,-
TGRE,TD Active Global Real Estate Equity ETF,Equity,-,94667668.65,,24145,-
TGRO,TD Growth ETF Portfolio,Asset Allocation,-,327672000,,104112,-
THE,TD International Equity CAD Hedged Index ETF,Equity,-,217686000,,63750,-
THU,TD U.S. Equity CAD Hedged Index ETF,Equity,-,139065000,,11120,-
TILV,TD Q International Low Volatility ETF,Equity,-,113904000,,53849,-
TINF,TD Active Global Infrastructure Equity ETF,Equity,-,338352000,,90221,-
TKN,Ninepoint Crypto and AI Leaders ETF,Equity,-,22990144.259999998,,3907,-
TKN.U,Ninepoint Crypto and AI Leaders ETF,Equity,-,17532511.68,,1418,-
TLF,Brompton Tech Leaders Income ETF,Equity,-,124011762.34,,8505,-
TLF.U,Brompton Tech Leaders Income ETF,Equity,-,3203500,,860,-
TLTX,Global X 20+ Year U.S. Treasury Bond Index ETF,Fixed Income,-,2485549.71,,276,-
TLTX.F,Global X 20+ Year U.S. Treasury Bond Index ETF,Fixed Income,-,4974049.74,,646,-
TLTX.U,Global X 20+ Year U.S. Treasury Bond Index ETF,Fixed Income,-,43557549.78,,8453,-
TLV,Invesco S&P/TSX Composite Low Volatility Index ETF,Equity,-,94860000,,6755,-
TOKN,Global X Tokenization Ecosystem Index ETF,Equity,-,1858018.5799999998,,591,-
TPE,TD International Equity Index ETF,Equity,-,4429986059.35,,595147,-
TPRF,TD Active Preferred Share ETF,Preferred Share,-,415763812.5,,87615,-
TPU,TD U.S. Equity Index ETF,Equity,-,4605910346.900001,,294278,-
TPU.U,TD U.S. Equity Index ETF,Equity,-,46577976.74,,4667,-
TQCD,TD Q Canadian Dividend ETF,Equity,-,2409588000,,734772,-
TQGD,TD Q Global Dividend ETF,Equity,-,643692000,,213130,-
TQGM,TD Q Global Multifactor ETF,Equity,-,877656000,,293605,-
TQQQ,BetaPro 3x Nasdaq-100 Daily Leveraged Bull Alternative ETF,Leverage/Inverse,-,88056000,,1180135,-
TQSM,TD Q U.S. Small-Mid-Cap Equity ETF,Equity,-,697502000,,218307,-
TQSM.U,TD Q U.S. Small-Mid-Cap Equity ETF,Equity,-,5402000,,2011,-
TRSL,BetaPro 3x Russell 2000 Daily Leveraged Bull Alternative ETF,Leverage/Inverse,-,4147999.9999999995,,8672,-
TRVI,Harvest Travel & Leisure Income ETF,Equity,-,49774749.99999999,,1534,-
TRVL,Harvest Travel & Leisure Index ETF,Equity,-,38354750,,2901,-
TRVL.U,Harvest Travel & Leisure Index ETF,Equity,-,2211000,,130,-
TSLD,SavvyShort (-2X) TSLA ETF,Single Stock ETF,-,1977500.0000000002,,55088,-
TSLU,SavvyLong (2X) TSLA ETF,Single Stock ETF,-,8331999.999999999,,61269,-
TSLY,Harvest Tesla Enhanced High Income Shares ETF,Single Stock ETF,-,238978125,,505160,-
TSPX,BetaPro 3x S&P 500 Daily Leveraged Bull Alternative ETF,Leverage/Inverse,-,8736000,,48334,-
TSTX,Global X 1-3 Year U.S. Treasury Bond Index ETF,Fixed Income,-,2466549.33,,140,-
TSTX.F,Global X 1-3 Year U.S. Treasury Bond Index ETF,Fixed Income,-,6221299.7700000005,,228,-
TSTX.U,Global X 1-3 Year U.S. Treasury Bond Index ETF,Fixed Income,-,33750050,,1196,-
TTES,TotalEnergies CDR (CAD Hedged),-,-,1420000,,537,-
TTP,TD Canadian Equity Index ETF,Equity,-,5367719966.13,,648093,-
TTTX,Global X Innovative Bluechip Top 10 Index ETF,Equity,-,5522000,,250,-
TUED,TD Active U.S. Enhanced Dividend ETF,Equity,-,585882000,,61989,-
TUED.U,TD Active U.S. Enhanced Dividend ETF,Equity,-,43056000,,4572,-
TUEX,TD Active U.S. Enhanced Dividend CAD Hedged ETF,Equity,-,11568000,,4883,-
TUHY,TD Active U.S. High Yield Bond ETF,Fixed Income,-,471782249.99999994,,86092,-
TULB,TD U.S. Long Term Treasury Bond ETF,Fixed Income,-,180477900,,17160,-
TULV,TD Q U.S. Low Volatility ETF,Equity,-,65688000,,9096,-
TUSB,TD Select U.S. Short Term Corporate Bond Ladder ETF,Fixed Income,-,49032250,,24363,-
TUSB.U,TD Select U.S. Short Term Corporate Bond Ladder ETF,Fixed Income,-,6078000.000000001,,3088,-
TUSD.U,TD U.S. Cash Management ETF,Cash/Currency,-,40024000,,18884,-
TXF,CI Tech Giants Covered Call ETF,Equity,-,706221934,,153362,-
TXF.B,CI Tech Giants Covered Call ETF,Equity,-,77797500,,5566,-
TXF.U,CI Tech Giants Covered Call ETF,Equity,-,14304000,,3923,-
UBIL.U,Global X 0-3 Month U.S. T-Bill ETF,Cash/Currency,-,458691949.79999995,,163015,-
UBNK,Global X Equal Weight U.S. Banks Index ETF,Equity,-,6890110.239999999,,2304,-
UBSS,UBS CDR (CAD Hedged),-,-,1194000,,296,-
UCSH.U,Global X USD High Interest Savings ETF,Fixed Income,-,401332714.055,,405235,-
UDA,Caldwell U.S. Dividend Advantage Fund,Equity,-,1632000,,417,-
UDEF,Manulife Smart U.S. Defensive Equity ETF,Equity,-,2772500,,1796,-
UDEF.B,Manulife Smart U.S. Defensive Equity ETF,Equity,-,3062500,,0,-
UDEF.U,Manulife Smart U.S. Defensive Equity ETF,Equity,-,1562500,,0,-
UDIV,Manulife Smart U.S. Dividend ETF,Equity,-,79920000,,17211,-
UDIV.B,Manulife Smart U.S. Dividend ETF,Equity,-,159799500,,35475,-
UDIV.U,Manulife Smart U.S. Dividend ETF,Equity,-,7546000,,512,-
ULV.C,Invesco S&P 500 Low Volatility Index ETF,Equity,-,22856700,,2429,-
ULV.F,Invesco S&P 500 Low Volatility Index ETF,Equity,-,85408000,,3657,-
ULV.U,Invesco S&P 500 Low Volatility Index ETF,Equity,-,4575450,,602,-
UMAX,Hamilton Utilities YIELD MAXIMIZER TM ETF,Equity,-,1191900801.9,,863045,-
UMI,CI U.S. MidCap Dividend Index ETF,Equity,-,8563232.64,,614,-
UMI.B,CI U.S. MidCap Dividend Index ETF,Equity,-,6772500,,85,-
UMNY.U,CI U.S. Money Market ETF,Cash/Currency,-,20032000,,8065,-
UMRT,Global X Equal Weight U.S. Groceries & Staples Index ETF,Equity,-,1707000.0000000002,,583,-
UMVP,HAMILTON CHAMPIONS TM Utilities Index ETF,Equity,-,268892875,,300676,-
USCC,Global X S&P 500 Covered Call ETF,Equity,-,517501882.54999995,,65945,-
USCC.U,Global X S&P 500 Covered Call ETF,Equity,-,380492245.76,,11960,-
USCL,Global X Enhanced S&P 500 Covered Call ETF,Equity,-,239207906.1,,146098,-
USSL,Global X Enhanced S&P 500 Index ETF,Equity,-,7980000,,1426,-
USSX,Global X S&P 500 Index ETF,Equity,-,731220000,,50142,-
USSX.U,Global X S&P 500 Index ETF,Equity,-,538020000,,75556,-
UTES,Evolve Canadian Utilities Enhanced Yield Index Fund,Equity,-,309923500,,474313,-
UTIL,Global X Equal Weight Canadian Utilities Index ETF,Equity,-,34108757.56,,6204,-
VA,Vanguard FTSE Developed Asia Pacific All Cap Index ETF,Equity,-,246757835.5,,97745,-
VAB,Vanguard Canadian Aggregate Bond Index ETF,Fixed Income,-,6941644000,,853254,-
VALT,CI Gold Bullion ETF,Commodity,-,241336000,,37573,-
VALT.B,CI Gold Bullion ETF,Commodity,-,118725300.00000001,,12290,-
VALT.U,CI Gold Bullion ETF,Commodity,-,232414000,,45058,-
VBAL,Vanguard Balanced ETF Portfolio,Asset Allocation,-,4809081600,,564704,-
VCB,Vanguard Canadian Corporate Bond Index ETF,Fixed Income,-,768884428.6899999,,364867,-
VCE,Vanguard FTSE Canada Index ETF,Equity,-,3182172708,,183559,-
VCIP,Vanguard Conservative Income ETF Portfolio,Asset Allocation,-,255565464,,45396,-
VCN,Vanguard FTSE Canada All Cap Index ETF,Equity,-,14301628320.000002,,639484,-
VCNS,Vanguard Conservative ETF Portfolio,Asset Allocation,-,809819055,,135970,-
VDU,Vanguard FTSE Developed All Cap Ex U.S. Index ETF,Equity,-,737833096,,98596,-
VDY,Vanguard FTSE Canadian High Dividend Yield Index ETF,Equity,-,6560238720,,723696,-
VE,Vanguard FTSE Developed Europe All Cap Index ETF,Equity,-,590690185.5,,119772,-
VEE,Vanguard FTSE Emerging Markets All Cap Index ETF,Equity,-,3563014372.5,,350300,-
VEF,Vanguard FTSE Developed All Cap Ex U.S. Index ETF (CAD-hedged),Equity,-,1107740550,,62676,-
VEQT,Vanguard All-Equity ETF Portfolio,Asset Allocation,-,11857843480,,1460960,-
VFV,Vanguard S&P 500 Index ETF,Equity,-,27744528000,,957169,-
VGG,Vanguard U.S. Dividend Appreciation Index ETF,Equity,-,2272853430,,84996,-
VGH,Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged),Equity,-,939334220.0000001,,35659,-
VGRO,Vanguard Growth ETF Portfolio,Asset Allocation,-,8950679361,,670249,-
VGV,Vanguard Canadian Government Bond Index ETF,Fixed Income,-,158401000,,40717,-
VI,Vanguard FTSE Developed All Cap ex North America Index ETF (CAD-Hedged),Equity,-,762112250,,118624,-
VIDY,Vanguard FTSE Developed ex North America High Dividend Yield Index ETF,Equity,-,1598192680,,511567,-
VIU,Vanguard FTSE Developed All Cap ex North America Index ETF,Equity,-,8883161361,,1162153,-
VLB,Vanguard Canadian Long-Term Bond Index ETF,Fixed Income,-,297112900,,66340,-
VMO,Vanguard Global Momentum Factor ETF,Equity,-,347182000,,77249,-
VOLX,BetaPro S&P 500 VIX Short-Term Futures ETF,Leverage/Inverse,-,32899426.56,,355501,-
VRE,Vanguard FTSE Canadian Capped REIT Index ETF,Equity,-,276486000,,26996,-
VRIF,Vanguard Retirement Income ETF Portfolio,Asset Allocation,-,331919700,,61834,-
VSB,Vanguard Canadian Short-Term Bond Index ETF,Fixed Income,-,1638000000,,966953,-
VSC,Vanguard Canadian Short-Term Corporate Bond Index ETF,Fixed Income,-,1419878000,,343362,-
VSP,Vanguard S&P 500 Index ETF (CAD-hedged),Equity,-,5325848584,,210248,-
VUN,Vanguard U.S. Total Market Index ETF,Equity,-,15066243897,,171374,-
VUS,Vanguard U.S. Total Market Index ETF (CAD-hedged),Equity,-,1259505962,,66195,-
VVL,Vanguard Global Value Factor ETF,Equity,-,682818000,,104270,-
VVO,Vanguard Global Minimum Volatility ETF,Equity,-,39187500,,2816,-
VVSG,Vanguard Canadian Ultra-Short Government Bond Index ETF,Fixed Income,-,137149250,,27830,-
VXC,Vanguard FTSE Global All Cap ex Canada Index ETF,Equity,-,2969098229,,155431,-
VXM,CI Morningstar International Value Index ETF,Equity,-,655306221.4399999,,172011,-
